geo_value,name,state
42000,Rest of PA,PA
42001,Adams County,PA
42003,Allegheny County,PA
42005,Armstrong County,PA
42007,Beaver County,PA
42009,Bedford County,PA
42011,Berks County,PA
42013,Blair County,PA
42015,Bradford County,PA
42017,Bucks County,PA
42019,Butler County,PA
42021,Cambria County,PA
42023,Cameron County,PA
42025,Carbon County,PA
42027,Centre County,PA
42029,Chester County,PA
42031,Clarion County,PA
42033,Clearfield County,PA
42035,Clinton County,PA
42037,Columbia County,PA
42039,Crawford County,PA
42041,Cumberland County,PA
42043,Dauphin County,PA
42045,Delaware County,PA
42047,Elk County,PA
42049,Erie County,PA
42051,Fayette County,PA
42053,Forest County,PA
42055,Franklin County,PA
42057,Fulton County,PA
42059,Greene County,PA
42061,Huntingdon County,PA
42063,Indiana County,PA
42065,Jefferson County,PA
42067,Juniata County,PA
42069,Lackawanna County,PA
42071,Lancaster County,PA
42073,Lawrence County,PA
42075,Lebanon County,PA
42077,Lehigh County,PA
42079,Luzerne County,PA
42081,Lycoming County,PA
42083,McKean County,PA
42085,Mercer County,PA
42087,Mifflin County,PA
42089,Monroe County,PA
42091,Montgomery County,PA
42093,Montour County,PA
42095,Northampton County,PA
42097,Northumberland County,PA
42099,Perry County,PA
42101,Philadelphia County,PA
42103,Pike County,PA
42105,Potter County,PA
42107,Schuylkill County,PA
42109,Snyder County,PA
42111,Somerset County,PA
42113,Sullivan County,PA
42115,Susquehanna County,PA
42117,Tioga County,PA
42119,Union County,PA
42121,Venango County,PA
42123,Warren County,PA
42125,Washington County,PA
42127,Wayne County,PA
42129,Westmoreland County,PA
42131,Wyoming County,PA
42133,York County,PA
