geo_value,time_value,indicator,indicator_value
42000,10/1/20,communityIll_value,16.3429182
42000,10/2/20,communityIll_value,17.7714597
42000,10/3/20,communityIll_value,18.246149
42000,10/4/20,communityIll_value,18.4540076
42000,10/5/20,communityIll_value,18.9384072
42000,10/6/20,communityIll_value,18.2201506
42000,10/7/20,communityIll_value,19.1531978
42000,10/8/20,communityIll_value,19.6003018
42000,10/9/20,communityIll_value,18.6122292
42000,10/10/20,communityIll_value,18.4207044
42000,10/11/20,communityIll_value,18.8737283
42000,10/12/20,communityIll_value,18.7018782
42000,10/13/20,communityIll_value,19.6928001
42000,10/14/20,communityIll_value,19.2980323
42000,10/15/20,communityIll_value,19.0819449
42000,10/16/20,communityIll_value,19.0472569
42000,10/17/20,communityIll_value,19.1457946
42000,10/18/20,communityIll_value,19.3684497
42000,10/19/20,communityIll_value,19.1633883
42000,10/20/20,communityIll_value,19.3270904
42000,10/21/20,communityIll_value,19.625556
42000,10/22/20,communityIll_value,19.8961271
42000,10/23/20,communityIll_value,20.627025
42000,10/24/20,communityIll_value,20.7406895
42000,10/25/20,communityIll_value,21.1662614
42000,10/26/20,communityIll_value,21.9750852
42000,10/27/20,communityIll_value,21.7949168
42000,10/28/20,communityIll_value,21.3955661
42000,10/29/20,communityIll_value,22.3686605
42000,10/30/20,communityIll_value,21.8661718
42000,10/31/20,communityIll_value,21.808936
42000,11/1/20,communityIll_value,23.532476
42000,11/2/20,communityIll_value,23.6989318
42000,11/3/20,communityIll_value,24.516627
42000,11/4/20,communityIll_value,25.6152362
42000,11/5/20,communityIll_value,24.6470077
42000,11/6/20,communityIll_value,26.3067609
42000,11/7/20,communityIll_value,25.9562501
42000,11/8/20,communityIll_value,26.2165349
42000,11/9/20,communityIll_value,26.5809931
42000,11/10/20,communityIll_value,27.3980528
42000,11/11/20,communityIll_value,29.5521446
42000,11/12/20,communityIll_value,29.7538329
42000,11/13/20,communityIll_value,31.33701
42000,11/14/20,communityIll_value,31.6279567
42000,11/15/20,communityIll_value,32.8315881
42000,11/16/20,communityIll_value,32.6640911
42000,11/17/20,communityIll_value,34.1083745
42000,11/18/20,communityIll_value,35.1987403
42000,11/19/20,communityIll_value,35.8298917
42000,11/20/20,communityIll_value,36.7252743
42000,11/21/20,communityIll_value,37.3956977
42000,11/22/20,communityIll_value,37.9686299
42000,11/23/20,communityIll_value,39.3967089
42000,11/24/20,communityIll_value,39.9747391
42000,11/25/20,communityIll_value,40.1491966
42000,11/26/20,communityIll_value,41.0609893
42000,11/27/20,communityIll_value,40.5787474
42000,11/28/20,communityIll_value,40.2147495
42000,11/29/20,communityIll_value,39.7120861
42000,11/30/20,communityIll_value,40.8844385
42000,12/1/20,communityIll_value,39.8296256
42001,10/2/20,communityIll_value,14.3801796
42001,10/3/20,communityIll_value,13.8638928
42001,10/4/20,communityIll_value,13.0467257
42001,10/5/20,communityIll_value,12.8288969
42001,10/6/20,communityIll_value,15.0289769
42001,10/7/20,communityIll_value,18.0187969
42001,10/8/20,communityIll_value,19.3181952
42001,10/9/20,communityIll_value,19.7188736
42001,10/16/20,communityIll_value,17.1396737
42001,10/18/20,communityIll_value,16.1466642
42001,10/19/20,communityIll_value,15.6753161
42001,11/18/20,communityIll_value,28.3192386
42001,11/19/20,communityIll_value,29.1495766
42001,11/20/20,communityIll_value,29.7004719
42001,11/21/20,communityIll_value,35.9393549
42001,11/22/20,communityIll_value,33.3069031
42001,11/23/20,communityIll_value,33.7241071
42001,11/24/20,communityIll_value,33.5574639
42001,11/25/20,communityIll_value,37.810108
42001,11/26/20,communityIll_value,36.1044712
42001,11/27/20,communityIll_value,34.110919
42001,11/28/20,communityIll_value,28.3771583
42001,11/29/20,communityIll_value,25.4285836
42001,11/30/20,communityIll_value,26.3951831
42001,12/1/20,communityIll_value,25.3736062
42003,10/1/20,communityIll_value,12.5897202
42003,10/2/20,communityIll_value,12.829948
42003,10/3/20,communityIll_value,13.1181653
42003,10/4/20,communityIll_value,12.6811828
42003,10/5/20,communityIll_value,13.6883197
42003,10/6/20,communityIll_value,13.069345
