,geo_value,time_value,value,name,state
198,42003,2020-10-01,56.159697758718,Allegheny County,PA
199,42011,2020-10-01,89.640158791138,Berks County,PA
200,42019,2020-10-01,38.368969967561,Butler County,PA
201,42077,2020-10-01,126.08895002293,Lehigh County,PA
202,42079,2020-10-01,10.036381884331,Luzerne County,PA
203,42091,2020-10-01,46.291350639177,Montgomery County,PA
204,42101,2020-10-01,87.87346221441099,Philadelphia County,PA
205,42129,2020-10-01,7.0382882882883,Westmoreland County,PA
206,42133,2020-10-01,16.363487604658,York County,PA
457,42003,2020-10-02,97.003114310512,Allegheny County,PA
458,42011,2020-10-02,121.65450121655,Berks County,PA
459,42019,2020-10-02,87.20220447172899,Butler County,PA
460,42077,2020-10-02,229.25263640532,Lehigh County,PA
461,42079,2020-10-02,22.581859239744002,Luzerne County,PA
462,42091,2020-10-02,71.21746252180999,Montgomery County,PA
463,42101,2020-10-02,128.88107791446998,Philadelphia County,PA
464,42129,2020-10-02,15.836148648649,Westmoreland County,PA
465,42133,2020-10-02,27.272479341097004,York County,PA
716,42003,2020-10-03,172.30816357788,Allegheny County,PA
717,42011,2020-10-03,160.07171212703,Berks County,PA
718,42019,2020-10-03,115.10690990268,Butler County,PA
719,42077,2020-10-03,217.79000458505,Lehigh County,PA
720,42079,2020-10-03,70.254673190315,Luzerne County,PA
721,42091,2020-10-03,116.32185545228998,Montgomery County,PA
722,42101,2020-10-03,146.45577035735002,Philadelphia County,PA
723,42129,2020-10-03,22.874436936937,Westmoreland County,PA
724,42133,2020-10-03,59.999454550413,York County,PA
975,42003,2020-10-04,84.239546638076,Allegheny County,PA
976,42011,2020-10-04,108.84876424638,Berks County,PA
977,42019,2020-10-04,94.17838082946699,Butler County,PA
978,42077,2020-10-04,183.40210912425,Lehigh County,PA
979,42079,2020-10-04,35.127336595157,Luzerne County,PA
980,42091,2020-10-04,67.65658939571999,Montgomery County,PA
981,42101,2020-10-04,93.73169302870501,Philadelphia County,PA
982,42129,2020-10-04,8.797860360360401,Westmoreland County,PA
983,42133,2020-10-04,27.272479341097004,York County,PA
1235,42003,2020-10-05,38.290703017307,Allegheny County,PA
1236,42011,2020-10-05,51.222947880651,Berks County,PA
1237,42019,2020-10-05,69.76176357738301,Butler County,PA
1238,42077,2020-10-05,34.387895460798,Lehigh County,PA
1239,42079,2020-10-05,25.090954710827,Luzerne County,PA
1240,42091,2020-10-05,36.795688969602,Montgomery County,PA
1241,42101,2020-10-05,158.17223198594,Philadelphia County,PA
1242,42129,2020-10-05,22.874436936937,Westmoreland County,PA
1243,42133,2020-10-05,16.363487604658,York County,PA
1497,42003,2020-10-06,51.05427068974301,Allegheny County,PA
1498,42011,2020-10-06,76.834421820976,Berks County,PA
1499,42019,2020-10-06,34.880881788692,Butler County,PA
1500,42077,2020-10-06,68.775790921596,Lehigh County,PA
1501,42079,2020-10-06,7.527286413248,Luzerne County,PA
1502,42091,2020-10-06,35.608731260904996,Montgomery County,PA
1503,42101,2020-10-06,70.298769771529,Philadelphia County,PA
1504,42129,2020-10-06,7.0382882882883,Westmoreland County,PA
1505,42133,2020-10-06,40.908719011645005,York County,PA
1759,42003,2020-10-07,61.265124827692006,Allegheny County,PA
1760,42011,2020-10-07,89.640158791138,Berks County,PA
1761,42019,2020-10-07,48.833234504168,Butler County,PA
1762,42077,2020-10-07,57.31315910133,Lehigh County,PA
1763,42079,2020-10-07,22.581859239744002,Luzerne County,PA
1764,42091,2020-10-07,56.973970017447996,Montgomery County,PA
1765,42101,2020-10-07,93.73169302870501,Philadelphia County,PA
