geo_value,time_value,value,name,state,metric
42003,10/1/20,56.15969776,Allegheny County,PA,barData
42011,10/1/20,89.64015879,Berks County,PA,barData
42019,10/1/20,38.36896997,Butler County,PA,barData
42077,10/1/20,126.08895,Lehigh County,PA,barData
42079,10/1/20,10.03638188,Luzerne County,PA,barData
42091,10/1/20,46.29135064,Montgomery County,PA,barData
42101,10/1/20,87.87346221,Philadelphia County,PA,barData
42129,10/1/20,7.038288288,Westmoreland County,PA,barData
42133,10/1/20,16.3634876,York County,PA,barData
42003,10/2/20,97.00311431,Allegheny County,PA,barData
42011,10/2/20,121.6545012,Berks County,PA,barData
42019,10/2/20,87.20220447,Butler County,PA,barData
42077,10/2/20,229.2526364,Lehigh County,PA,barData
42079,10/2/20,22.58185924,Luzerne County,PA,barData
42091,10/2/20,71.21746252,Montgomery County,PA,barData
42101,10/2/20,128.8810779,Philadelphia County,PA,barData
42129,10/2/20,15.83614865,Westmoreland County,PA,barData
42133,10/2/20,27.27247934,York County,PA,barData
42003,10/3/20,172.3081636,Allegheny County,PA,barData
42011,10/3/20,160.0717121,Berks County,PA,barData
42019,10/3/20,115.1069099,Butler County,PA,barData
42077,10/3/20,217.7900046,Lehigh County,PA,barData
42079,10/3/20,70.25467319,Luzerne County,PA,barData
42091,10/3/20,116.3218555,Montgomery County,PA,barData
42101,10/3/20,146.4557704,Philadelphia County,PA,barData
42129,10/3/20,22.87443694,Westmoreland County,PA,barData
42133,10/3/20,59.99945455,York County,PA,barData
42003,10/4/20,84.23954664,Allegheny County,PA,barData
42011,10/4/20,108.8487642,Berks County,PA,barData
42019,10/4/20,94.17838083,Butler County,PA,barData
42077,10/4/20,183.4021091,Lehigh County,PA,barData
42079,10/4/20,35.1273366,Luzerne County,PA,barData
42091,10/4/20,67.6565894,Montgomery County,PA,barData
42101,10/4/20,93.73169303,Philadelphia County,PA,barData
42129,10/4/20,8.79786036,Westmoreland County,PA,barData
42133,10/4/20,27.27247934,York County,PA,barData
42003,10/5/20,38.29070302,Allegheny County,PA,barData
42011,10/5/20,51.22294788,Berks County,PA,barData
42019,10/5/20,69.76176358,Butler County,PA,barData
42077,10/5/20,34.38789546,Lehigh County,PA,barData
42079,10/5/20,25.09095471,Luzerne County,PA,barData
42091,10/5/20,36.79568897,Montgomery County,PA,barData
42101,10/5/20,158.172232,Philadelphia County,PA,barData
42129,10/5/20,22.87443694,Westmoreland County,PA,barData
42133,10/5/20,16.3634876,York County,PA,barData
42003,10/6/20,51.05427069,Allegheny County,PA,barData
42011,10/6/20,76.83442182,Berks County,PA,barData
42019,10/6/20,34.88088179,Butler County,PA,barData
42077,10/6/20,68.77579092,Lehigh County,PA,barData
42079,10/6/20,7.527286413,Luzerne County,PA,barData
42091,10/6/20,35.60873126,Montgomery County,PA,barData
42101,10/6/20,70.29876977,Philadelphia County,PA,barData
42129,10/6/20,7.038288288,Westmoreland County,PA,barData
42133,10/6/20,40.90871901,York County,PA,barData
42003,10/7/20,61.26512483,Allegheny County,PA,barData
42011,10/7/20,89.64015879,Berks County,PA,barData
42019,10/7/20,48.8332345,Butler County,PA,barData
42077,10/7/20,57.3131591,Lehigh County,PA,barData
42079,10/7/20,22.58185924,Luzerne County,PA,barData
42091,10/7/20,56.97397002,Montgomery County,PA,barData
42101,10/7/20,93.73169303,Philadelphia County,PA,barData
42129,10/7/20,21.11486486,Westmoreland County,PA,barData
42133,10/7/20,16.3634876,York County,PA,barData
42003,10/8/20,42.11977332,Allegheny County,PA,barData
42011,10/8/20,108.8487642,Berks County,PA,barData
42019,10/8/20,41.85705815,Butler County,PA,barData
42077,10/8/20,103.1636864,Lehigh County,PA,barData
42079,10/8/20,7.527286413,Luzerne County,PA,barData
42091,10/8/20,42.73047751,Montgomery County,PA,barData
42101,10/8/20,99.58992384,Philadelphia County,PA,barData
42129,10/8/20,1.759572072,Westmoreland County,PA,barData
42133,10/8/20,54.54495868,York County,PA,barData
42003,10/9/20,139.1228876,Allegheny County,PA,barData
42011,10/9/20,134.4602382,Berks County,PA,barData
42019,10/9/20,45.34514633,Butler County,PA,barData
42077,10/9/20,114.6263182,Lehigh County,PA,barData
42079,10/9/20,15.05457283,Luzerne County,PA,barData
42091,10/9/20,79.52616648,Montgomery County,PA,barData
42101,10/9/20,105.4481547,Philadelphia County,PA,barData
42129,10/9/20,8.79786036,Westmoreland County,PA,barData
42133,10/9/20,29.99972728,York County,PA,barData
42003,10/10/20,264.2058508,Allegheny County,PA,barData
42011,10/10/20,96.04302728,Berks County,PA,barData
42019,10/10/20,125.5711744,Butler County,PA,barData
42077,10/10/20,103.1636864,Lehigh County,PA,barData
42079,10/10/20,35.1273366,Luzerne County,PA,barData
42091,10/10/20,121.0696863,Montgomery County,PA,barData
42101,10/10/20,105.4481547,Philadelphia County,PA,barData
42129,10/10/20,14.07657658,Westmoreland County,PA,barData
42133,10/10/20,57.27220662,York County,PA,barData
42003,10/11/20,131.464747,Allegheny County,PA,barData
42011,10/11/20,147.2659752,Berks County,PA,barData
42019,10/11/20,34.88088179,Butler County,PA,barData
42077,10/11/20,183.4021091,Lehigh County,PA,barData
42079,10/11/20,30.10914565,Luzerne County,PA,barData
42091,10/11/20,60.53484314,Montgomery County,PA,barData
42101,10/11/20,105.4481547,Philadelphia County,PA,barData
42129,10/11/20,15.83614865,Westmoreland County,PA,barData
42133,10/11/20,38.18147108,York County,PA,barData
42003,10/12/20,34.46163272,Allegheny County,PA,barData
42011,10/12/20,70.43155334,Berks County,PA,barData
42019,10/12/20,59.29749904,Butler County,PA,barData
42077,10/12/20,45.85052728,Lehigh County,PA,barData
42079,10/12/20,15.05457283,Luzerne County,PA,barData
42091,10/12/20,41.5435198,Montgomery County,PA,barData
42101,10/12/20,70.29876977,Philadelphia County,PA,barData
42129,10/12/20,15.83614865,Westmoreland County,PA,barData
42133,10/12/20,10.90899174,York County,PA,barData
42003,10/13/20,47.22520039,Allegheny County,PA,barData
42011,10/13/20,57.62581637,Berks County,PA,barData
42019,10/13/20,41.85705815,Butler County,PA,barData
42077,10/13/20,34.38789546,Lehigh County,PA,barData
42079,10/13/20,17.5636683,Luzerne County,PA,barData
42091,10/13/20,45.10439293,Montgomery County,PA,barData
