,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,pa,smoothed_cli,2020-09-01,2020-11-19,79,0.3273224,0.0450735,11904.0071,state,fb-survey
0,pa,smoothed_cli,2020-09-02,2020-11-19,78,0.3763739,0.0450196,14214.0081,state,fb-survey
0,pa,smoothed_cli,2020-09-03,2020-11-19,77,0.349297,0.0432802,14185.0088,state,fb-survey
0,pa,smoothed_cli,2020-09-04,2020-11-19,76,0.3933913,0.0465209,14173.0087,state,fb-survey
0,pa,smoothed_cli,2020-09-05,2020-11-19,75,0.3948067,0.0472548,13888.009,state,fb-survey
0,pa,smoothed_cli,2020-09-06,2020-11-19,74,0.3783618,0.0466691,13585.0087,state,fb-survey
0,pa,smoothed_cli,2020-09-07,2020-11-19,73,0.3720495,0.0470104,13340.009,state,fb-survey
0,pa,smoothed_cli,2020-09-08,2020-11-19,72,0.3938667,0.0487764,13318.009,state,fb-survey
0,pa,smoothed_cli,2020-09-09,2020-11-19,71,0.3466817,0.0450088,13288.0087,state,fb-survey
0,pa,smoothed_cli,2020-09-10,2020-11-19,70,0.3607263,0.0449091,13623.0095,state,fb-survey
0,pa,smoothed_cli,2020-09-11,2020-11-19,69,0.3590669,0.044613,13908.0097,state,fb-survey
0,pa,smoothed_cli,2020-09-12,2020-11-19,68,0.4226176,0.0484653,14349.0096,state,fb-survey
0,pa,smoothed_cli,2020-09-13,2020-11-19,67,0.4244364,0.0479786,15012.01,state,fb-survey
0,pa,smoothed_cli,2020-09-14,2020-11-19,66,0.4629938,0.0495513,15203.0091,state,fb-survey
0,pa,smoothed_cli,2020-09-15,2020-11-19,65,0.4521099,0.0484721,15221.0097,state,fb-survey
0,pa,smoothed_cli,2020-09-16,2020-11-19,64,0.4530505,0.0492801,14927.01,state,fb-survey
0,pa,smoothed_cli,2020-09-17,2020-11-19,63,0.4482069,0.0502821,14499.0087,state,fb-survey
0,pa,smoothed_cli,2020-09-18,2020-11-19,62,0.4140544,0.0483576,14244.0087,state,fb-survey
0,pa,smoothed_cli,2020-09-19,2020-11-19,61,0.3993003,0.048251,13827.0084,state,fb-survey
0,pa,smoothed_cli,2020-09-20,2020-11-19,60,0.4299105,0.0509135,13339.0086,state,fb-survey
0,pa,smoothed_cli,2020-09-21,2020-11-19,59,0.3959115,0.0486185,13178.0089,state,fb-survey
0,pa,smoothed_cli,2020-09-22,2020-11-19,58,0.4046955,0.0494455,12884.0078,state,fb-survey
0,pa,smoothed_cli,2020-09-23,2020-11-19,57,0.3950497,0.0489657,12671.0076,state,fb-survey
0,pa,smoothed_cli,2020-09-24,2020-11-19,56,0.3959112,0.0489555,12447.008,state,fb-survey
0,pa,smoothed_cli,2020-09-25,2020-11-19,55,0.4687705,0.0540687,12287.0074,state,fb-survey
0,pa,smoothed_cli,2020-09-26,2020-11-19,54,0.470106,0.0538285,12323.0074,state,fb-survey
0,pa,smoothed_cli,2020-09-27,2020-11-19,53,0.4461213,0.0515139,12328.0068,state,fb-survey
0,pa,smoothed_cli,2020-09-28,2020-11-19,52,0.4650485,0.0530698,12264.0064,state,fb-survey
0,pa,smoothed_cli,2020-09-29,2020-11-19,51,0.4721,0.0538812,12257.0059,state,fb-survey
0,pa,smoothed_cli,2020-09-30,2020-11-19,50,0.4791801,0.0549906,12033.0063,state,fb-survey
0,pa,smoothed_cli,2020-10-01,2020-11-19,49,0.4819173,0.0555784,11962.0058,state,fb-survey
0,pa,smoothed_cli,2020-10-02,2020-11-19,48,0.4221842,0.0515518,12093.0058,state,fb-survey
0,pa,smoothed_cli,2020-10-03,2020-11-19,47,0.4023341,0.049432,12044.0053,state,fb-survey
0,pa,smoothed_cli,2020-10-04,2020-11-19,46,0.4288149,0.0521257,12019.0052,state,fb-survey
0,pa,smoothed_cli,2020-10-05,2020-11-19,45,0.468084,0.0553871,12057.0051,state,fb-survey
0,pa,smoothed_cli,2020-10-06,2020-11-19,44,0.4781972,0.0548611,12299.0054,state,fb-survey
0,pa,smoothed_cli,2020-10-07,2020-11-19,43,0.5150992,0.0556916,12772.005,state,fb-survey
0,pa,smoothed_cli,2020-10-08,2020-11-19,42,0.5341706,0.0564647,12932.0052,state,fb-survey
0,pa,smoothed_cli,2020-10-09,2020-11-19,41,0.571106,0.0580598,12939.0056,state,fb-survey
0,pa,smoothed_cli,2020-10-10,2020-11-19,40,0.6041022,0.0607751,12868.0067,state,fb-survey
0,pa,smoothed_cli,2020-10-11,2020-11-19,39,0.5773385,0.05906,12802.0079,state,fb-survey
0,pa,smoothed_cli,2020-10-12,2020-11-19,38,0.5559656,0.0575671,12813.0084,state,fb-survey
0,pa,smoothed_cli,2020-10-13,2020-11-19,37,0.5301388,0.0563715,12602.0085,state,fb-survey
0,pa,smoothed_cli,2020-10-14,2020-11-19,36,0.4928697,0.0556241,12275.0085,state,fb-survey
0,pa,smoothed_cli,2020-10-15,2020-11-19,35,0.4767182,0.0546694,12163.0085,state,fb-survey
0,pa,smoothed_cli,2020-10-16,2020-11-19,34,0.4538948,0.0537286,11960.0085,state,fb-survey
0,pa,smoothed_cli,2020-10-17,2020-11-19,33,0.4395945,0.0529197,11782.0083,state,fb-survey
0,pa,smoothed_cli,2020-10-18,2020-11-19,32,0.4885947,0.0568495,11547.0069,state,fb-survey
0,pa,smoothed_cli,2020-10-19,2020-11-19,31,0.5067529,0.0582547,11398.0068,state,fb-survey
0,pa,smoothed_cli,2020-10-20,2020-11-19,30,0.5471434,0.0612406,11277.0068,state,fb-survey
0,pa,smoothed_cli,2020-10-21,2020-10-26,5,0.5451081,0.060137,11154.0077,state,fb-survey
0,pa,smoothed_cli,2020-10-22,2020-10-27,5,0.6141226,0.0651853,10906.0068,state,fb-survey
0,pa,smoothed_cli,2020-10-23,2020-10-28,5,0.6362388,0.0679258,10659.006,state,fb-survey
0,pa,smoothed_cli,2020-10-24,2020-10-29,5,0.6600449,0.0696008,10579.0059,state,fb-survey
0,pa,smoothed_cli,2020-10-25,2020-10-30,5,0.6436224,0.069412,10511.006,state,fb-survey
0,pa,smoothed_cli,2020-10-26,2020-10-31,5,0.6417124,0.0699968,10236.0061,state,fb-survey
0,pa,smoothed_cli,2020-10-27,2020-11-01,5,0.6008252,0.0699728,9737.006,state,fb-survey
0,pa,smoothed_cli,2020-10-28,2020-11-02,5,0.6089767,0.0724194,9312.0049,state,fb-survey
0,pa,smoothed_cli,2020-10-29,2020-11-03,5,0.5650845,0.070636,8887.005,state,fb-survey
0,pa,smoothed_cli,2020-10-30,2020-11-04,5,0.5248377,0.0696454,8384.0051,state,fb-survey
0,pa,smoothed_cli,2020-10-31,2020-11-05,5,0.4679007,0.0657285,8444.0051,state,fb-survey
0,pa,smoothed_cli,2020-11-01,2020-11-06,5,0.413958,0.060567,8570.0058,state,fb-survey
0,pa,smoothed_cli,2020-11-02,2020-11-07,5,0.3769292,0.0568841,8634.0056,state,fb-survey
0,pa,smoothed_cli,2020-11-03,2020-11-08,5,0.4916695,0.0661157,8760.0056,state,fb-survey
0,pa,smoothed_cli,2020-11-04,2020-11-09,5,0.5710914,0.0745641,8212.0054,state,fb-survey
0,pa,smoothed_cli,2020-11-05,2020-11-10,5,0.5701869,0.0767221,7960.0052,state,fb-survey
0,pa,smoothed_cli,2020-11-06,2020-11-11,5,0.6116855,0.0776565,8285.0052,state,fb-survey
0,pa,smoothed_cli,2020-11-07,2020-11-12,5,0.6173463,0.0797086,7526.0049,state,fb-survey
0,pa,smoothed_cli,2020-11-08,2020-11-13,5,0.8110923,0.0980636,6682.0041,state,fb-survey
0,pa,smoothed_cli,2020-11-09,2020-11-14,5,0.8444289,0.1009299,6581.0042,state,fb-survey
0,pa,smoothed_cli,2020-11-10,2020-11-15,5,0.8434593,0.0977716,7149.0046,state,fb-survey
0,pa,smoothed_cli,2020-11-11,2020-11-16,5,0.7748242,0.0853512,8399.0043,state,fb-survey
0,pa,smoothed_cli,2020-11-12,2020-11-17,5,0.8071543,0.0823248,9381.0049,state,fb-survey
0,pa,smoothed_cli,2020-11-13,2020-11-18,5,0.8452911,0.0827161,9890.006,state,fb-survey
0,pa,smoothed_cli,2020-11-14,2020-11-19,5,0.933696,0.0831886,10979.0071,state,fb-survey
0,pa,smoothed_cli,2020-11-15,2020-11-20,5,0.9195333,0.0783673,12160.0072,state,fb-survey
0,pa,smoothed_cli,2020-11-16,2020-11-21,5,0.9536684,0.0783453,12644.0072,state,fb-survey
0,pa,smoothed_cli,2020-11-17,2020-11-22,5,0.9761926,0.0778818,12749.0072,state,fb-survey
0,pa,smoothed_cli,2020-11-18,2020-11-23,5,0.9954778,0.0792383,12648.0078,state,fb-survey
0,pa,smoothed_cli,2020-11-19,2020-11-24,5,1.0259716,0.0798434,12695.0077,state,fb-survey
0,pa,smoothed_cli,2020-11-20,2020-12-09,19,1.0206133,0.0786611,12851.0067,state,fb-survey
0,pa,smoothed_cli,2020-11-21,2020-12-09,18,1.0111278,0.0779327,12947.0062,state,fb-survey
0,pa,smoothed_cli,2020-11-22,2020-12-09,17,1.0385465,0.0784464,13066.0062,state,fb-survey
0,pa,smoothed_cli,2020-11-23,2020-12-09,16,1.0554404,0.0790819,12968.0061,state,fb-survey
0,pa,smoothed_cli,2020-11-24,2020-12-09,15,1.0593365,0.0800373,12739.0053,state,fb-survey
0,pa,smoothed_cli,2020-11-25,2020-12-09,14,1.0880493,0.080617,12790.0059,state,fb-survey
0,pa,smoothed_cli,2020-11-26,2020-12-09,13,1.0820023,0.080868,12867.0058,state,fb-survey
0,pa,smoothed_cli,2020-11-27,2020-12-09,12,1.1584068,0.0847068,12778.0069,state,fb-survey
0,pa,smoothed_cli,2020-11-28,2020-12-09,11,1.1735116,0.0847833,12856.0065,state,fb-survey
0,pa,smoothed_cli,2020-11-29,2020-12-09,10,1.1246567,0.0824519,12957.007,state,fb-survey
0,pa,smoothed_cli,2020-11-30,2020-12-05,5,1.1349744,0.0821858,13195.0066,state,fb-survey
0,pa,smoothed_cli,2020-12-01,2020-12-06,5,1.1279538,0.0802244,13672.007,state,fb-survey
0,pa,smoothed_cli,2020-12-02,2020-12-07,5,1.2358908,0.083854,13978.0064,state,fb-survey
0,pa,smoothed_cli,2020-12-03,2020-12-08,5,1.2847405,0.0844007,14173.008,state,fb-survey
0,pa,smoothed_cli,2020-12-04,2020-12-09,5,1.2494651,0.0822854,14251.0076,state,fb-survey
0,pa,smoothed_cli,2020-12-05,2020-12-11,6,1.2330534,0.0815536,14345.0082,state,fb-survey
0,pa,smoothed_cli,2020-12-06,2020-12-11,5,1.3382483,0.0862309,14237.0085,state,fb-survey
0,pa,smoothed_cli,2020-12-07,2020-12-12,5,1.297853,0.0850702,14238.0091,state,fb-survey
