,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,pa,smoothed_hh_cmnty_cli,2020-09-01,2020-11-19,79,13.3445116,0.3152851,11633.0069,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-02,2020-11-19,78,13.3815533,0.2888212,13895.0079,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-03,2020-11-19,77,13.2389018,0.2877627,13871.0086,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-04,2020-11-19,76,13.5104957,0.2902964,13866.0086,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-05,2020-11-19,75,13.4479517,0.2927526,13581.0089,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-06,2020-11-19,74,13.473985,0.2961264,13295.0086,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-07,2020-11-19,73,13.4819896,0.2987164,13072.0089,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-08,2020-11-19,72,13.2807717,0.2976557,12999.0089,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-09,2020-11-19,71,13.2673656,0.2988533,12884.0086,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-10,2020-11-19,70,13.5677835,0.2989456,13122.0094,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-11,2020-11-19,69,13.4182096,0.2954081,13313.0095,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-12,2020-11-19,68,13.4588661,0.2918553,13674.0094,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-13,2020-11-19,67,13.3986224,0.2854247,14243.0099,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-14,2020-11-19,66,13.3256675,0.2836929,14351.009,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-15,2020-11-19,65,13.5559579,0.2856837,14358.0096,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-16,2020-11-19,64,13.4996118,0.2878612,14092.0097,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-17,2020-11-19,63,13.3282225,0.2905058,13688.0084,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-18,2020-11-19,62,13.3415106,0.2931121,13457.0083,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-19,2020-11-19,61,13.2167239,0.2963295,13062.008,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-20,2020-11-19,60,13.4097061,0.3034135,12613.008,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-21,2020-11-19,59,13.645127,0.3075938,12454.0083,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-22,2020-11-19,58,13.8569569,0.3130933,12177.0071,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-23,2020-11-19,57,14.0893894,0.3180097,11969.007,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-24,2020-11-19,56,14.3312885,0.3232059,11753.0073,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-25,2020-11-19,55,14.3577535,0.3255944,11599.0069,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-26,2020-11-19,54,14.4325837,0.325976,11622.0069,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-27,2020-11-19,53,14.352804,0.3254915,11603.0064,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-28,2020-11-19,52,14.2417879,0.3252402,11546.006,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-29,2020-11-19,51,14.4435725,0.3272782,11537.0056,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-09-30,2020-11-19,50,14.1286056,0.3273788,11320.0061,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-01,2020-11-19,49,13.780396,0.3247642,11265.0057,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-02,2020-11-19,48,14.4255199,0.3291833,11392.0057,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-03,2020-11-19,47,14.5541743,0.3308643,11360.0052,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-04,2020-11-19,46,14.7229793,0.3325658,11352.0052,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-05,2020-11-19,45,15.1606947,0.3360883,11387.0052,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-06,2020-11-19,44,15.4465589,0.3354017,11610.0055,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-07,2020-11-19,43,16.4122768,0.3373572,12054.0051,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-08,2020-11-19,42,16.8335113,0.3389463,12186.0052,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-09,2020-11-19,41,16.6913022,0.3379386,12176.0056,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-10,2020-11-19,40,16.96967,0.3412418,12100.0067,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-11,2020-11-19,39,17.201126,0.3439929,12036.0079,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-12,2020-11-19,38,17.0829833,0.3428689,12049.0083,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-13,2020-11-19,37,16.9283313,0.3445463,11846.0082,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-14,2020-11-19,36,16.4040122,0.3445992,11548.0081,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-15,2020-11-19,35,16.473405,0.3463707,11469.0082,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-16,2020-11-19,34,16.5043787,0.3492762,11296.0081,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-17,2020-11-19,33,16.4852439,0.3519447,11115.0078,state,fb-survey
0,pa,smoothed_hh_cmnty_cli,2020-10-18,2020-11-19,32,16.4723687,0.3554015,10893.0064,state,fb-survey
