,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,pa,smoothed_worried_become_ill,2020-09-08,2020-12-09,92,57.0555034,1.5189383,1062.0007,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-09,2020-12-09,91,55.7421649,0.8885091,3125.0013,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-10,2020-12-09,90,56.6053998,0.6858485,5222.0033,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-11,2020-12-09,89,56.7194807,0.5893373,7068.0046,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-12,2020-12-09,88,56.3775251,0.5236731,8968.0051,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-13,2020-12-09,87,56.5941073,0.4720524,11024.0063,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-14,2020-12-09,86,56.4785238,0.4377718,12826.007,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-15,2020-12-09,85,56.5556962,0.4244836,13636.0085,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-16,2020-12-09,84,56.748557,0.4287824,13350.0089,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-17,2020-12-09,83,56.4666464,0.4351639,12981.0079,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-18,2020-12-09,82,56.3940752,0.43912,12753.0079,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-19,2020-12-09,81,56.7774015,0.4453902,12371.0079,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-20,2020-12-09,80,56.424091,0.4535224,11954.0082,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-21,2020-12-09,79,56.3247154,0.4567059,11794.0082,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-22,2020-12-09,78,56.451054,0.4617133,11532.0068,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-23,2020-12-09,77,56.4992987,0.4657313,11331.0065,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-24,2020-12-09,76,56.808591,0.469482,11132.0068,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-25,2020-12-09,75,57.0355179,0.4724392,10979.0062,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-26,2020-12-09,74,56.7065957,0.4720371,11018.0062,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-27,2020-12-09,73,57.1148574,0.4725463,10969.0055,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-28,2020-12-09,72,57.1422029,0.4734159,10927.0052,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-29,2020-12-09,71,56.7628215,0.4740991,10919.0051,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-09-30,2020-12-09,70,56.6418251,0.4783251,10734.0056,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,56.6063369,0.4799609,10663.005,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-02,2020-12-09,68,56.710258,0.4771926,10781.0049,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-03,2020-12-09,67,57.3996271,0.4778446,10709.0046,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-04,2020-12-09,66,57.4645656,0.4774383,10723.0045,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-05,2020-12-09,65,58.0754578,0.4756903,10760.0048,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-06,2020-12-09,64,58.7014041,0.4703769,10957.005,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-07,2020-12-09,63,59.340708,0.4602506,11390.0043,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-08,2020-12-09,62,59.508114,0.4572279,11526.0047,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-09,2020-12-09,61,59.8394807,0.4566588,11524.0051,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-10,2020-12-09,60,59.9677377,0.4575703,11466.0062,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-11,2020-12-09,59,60.2923137,0.458445,11391.0075,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-12,2020-12-09,58,60.269349,0.4583695,11397.0078,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-13,2020-12-09,57,59.977704,0.4627669,11209.0078,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-14,2020-12-09,56,59.8486976,0.4694443,10904.0079,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-15,2020-12-09,55,60.0821382,0.4704806,10835.008,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-16,2020-12-09,54,59.8902189,0.4747947,10656.0078,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-17,2020-12-09,53,59.7799207,0.4786386,10495.0074,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-18,2020-12-09,52,59.5582581,0.4836022,10299.0059,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-19,2020-12-09,51,59.9420674,0.4855927,10183.0056,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-20,2020-12-09,50,60.3809991,0.486581,10104.0057,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-21,2020-12-09,49,60.8118917,0.4884634,9988.0068,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-22,2020-12-09,48,60.8081698,0.4947275,9737.0058,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-23,2020-12-09,47,60.7510439,0.5004897,9519.0053,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-24,2020-12-09,46,60.9158216,0.5020968,9444.005,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-25,2020-12-09,45,61.2746561,0.5031245,9374.0052,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-26,2020-12-09,44,61.2649657,0.5107225,9098.0055,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-27,2020-12-09,43,61.5710054,0.5237971,8624.0055,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-28,2020-12-09,42,62.1995309,0.5329412,8278.0044,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-29,2020-12-09,41,62.4952615,0.5436632,7930.0045,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-30,2020-12-09,40,62.6587285,0.5592866,7480.0045,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-10-31,2020-12-09,39,62.7447027,0.5560966,7559.0049,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-01,2020-12-09,38,62.92654,0.551255,7677.0055,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-02,2020-12-09,37,62.7733917,0.5499675,7726.0053,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-03,2020-12-09,36,62.3224555,0.5481845,7814.0053,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-04,2020-12-09,35,61.3742467,0.5705271,7283.005,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-05,2020-12-09,34,61.0294136,0.5827682,7003.0047,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-06,2020-12-09,33,60.6112895,0.5740019,7246.0047,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-07,2020-12-09,32,59.8699315,0.6063866,6534.0043,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-08,2020-12-09,31,58.6263926,0.6498883,5743.0036,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-09,2020-12-09,30,58.9139684,0.6559864,5625.0038,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-10,2020-12-09,29,60.2252252,0.6275809,6082.0039,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-11,2020-12-09,28,61.0876648,0.5783726,7106.0037,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-12,2020-12-09,27,62.0464437,0.5466306,7881.0042,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-13,2020-12-09,26,62.843875,0.5308207,8287.005,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-14,2020-12-09,25,63.6625727,0.5016653,9192.0058,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-15,2020-12-09,24,64.6005149,0.473798,10187.0058,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-16,2020-12-09,23,65.0629255,0.4637816,10568.0057,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-17,2020-12-09,22,65.1865416,0.4618294,10640.006,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-18,2020-12-09,21,65.5944107,0.4631254,10522.0065,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-19,2020-12-09,20,66.0947196,0.4602944,10577.0063,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-20,2020-12-09,19,66.5435634,0.4562495,10695.0055,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-21,2020-12-09,18,66.6403379,0.4544989,10762.0053,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-22,2020-12-09,17,66.7694678,0.4519835,10861.0054,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-23,2020-12-09,16,66.9187155,0.4532272,10777.005,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-24,2020-12-09,15,67.5689676,0.45504,10583.0041,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-25,2020-12-09,14,67.8959648,0.4520015,10669.0045,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-26,2020-12-09,13,67.904961,0.4501993,10753.0047,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-27,2020-12-09,12,68.320213,0.4503212,10673.0058,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-28,2020-12-09,11,68.7587316,0.4474333,10730.0054,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-29,2020-12-09,10,69.0093284,0.4445859,10820.0059,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-11-30,2020-12-09,9,68.9922835,0.4407197,11014.0059,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-01,2020-12-09,8,69.0029628,0.4319612,11463.0063,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-02,2020-12-09,7,69.0894349,0.4267241,11728.0059,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-03,2020-12-09,6,69.1164105,0.4240438,11871.0073,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-04,2020-12-09,5,69.2837481,0.4215096,11978.0068,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-05,2020-12-11,6,69.6282571,0.4179873,12104.007,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-06,2020-12-11,5,69.8101458,0.4189424,12008.0073,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-07,2020-12-12,5,70.5361618,0.4156575,12029.0077,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-08,2020-12-13,5,70.5035116,0.4191678,11836.007,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-09,2020-12-14,5,70.6992046,0.4200435,11741.0072,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-10,2020-12-15,5,70.7932282,0.4215551,11635.0066,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-11,2020-12-16,5,70.8497366,0.4204128,11685.0066,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-12,2020-12-17,5,70.7812357,0.4223143,11596.0065,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-13,2020-12-18,5,70.4795285,0.4243893,11552.0062,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-14,2020-12-19,5,69.9029486,0.4142349,12261.0075,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-15,2020-12-20,5,69.6926982,0.4122224,12430.0083,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-16,2020-12-21,5,69.0331059,0.4140086,12472.0084,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-17,2020-12-22,5,68.9245371,0.4140093,12496.0087,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-18,2020-12-23,5,68.3908904,0.4162293,12478.0086,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-19,2020-12-24,5,67.9149268,0.4178058,12483.0083,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-20,2020-12-25,5,68.3274972,0.414877,12573.0079,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-21,2020-12-26,5,68.4972557,0.4268364,11844.0071,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-22,2020-12-27,5,68.7836411,0.4317814,11517.007,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-23,2020-12-28,5,69.5066255,0.4313739,11390.0066,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-24,2020-12-29,5,69.7899029,0.4332551,11232.0056,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-25,2020-12-30,5,70.1033247,0.4358665,11032.0054,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-26,2020-12-31,5,70.4339553,0.4343722,11037.0057,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-27,2021-01-01,5,70.1321312,0.4324656,11200.0054,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-28,2021-01-02,5,70.5324014,0.4283981,11325.0047,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-29,2021-01-03,5,70.6105902,0.4209886,11709.0048,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-30,2021-01-04,5,70.4197872,0.4161339,12029.0054,state,fb-survey
0,pa,smoothed_worried_become_ill,2020-12-31,2021-01-05,5,70.5636007,0.4110251,12295.0059,state,fb-survey
