,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,pa,bars_visit_prop,2020-09-01,2020-11-30,90,43.438825020763,,,state,safegraph
0,pa,bars_visit_prop,2020-09-02,2020-11-30,89,40.980023604494,,,state,safegraph
0,pa,bars_visit_prop,2020-09-03,2020-11-30,88,46.170826594396,,,state,safegraph
0,pa,bars_visit_prop,2020-09-04,2020-11-30,87,76.769244219085,,,state,safegraph
0,pa,bars_visit_prop,2020-09-05,2020-11-30,86,89.336451457796,,,state,safegraph
0,pa,bars_visit_prop,2020-09-06,2020-11-30,85,56.825632731564,,,state,safegraph
0,pa,bars_visit_prop,2020-09-07,2020-11-30,84,54.640031472658,,,state,safegraph
0,pa,bars_visit_prop,2020-09-08,2020-11-30,83,43.438825020763,,,state,safegraph
0,pa,bars_visit_prop,2020-09-09,2020-11-30,82,41.799624076583,,,state,safegraph
0,pa,bars_visit_prop,2020-09-10,2020-11-30,81,43.98522533549,,,state,safegraph
0,pa,bars_visit_prop,2020-09-11,2020-11-30,80,77.042444376448,,,state,safegraph
0,pa,bars_visit_prop,2020-09-12,2020-11-30,79,99.444857280238,,,state,safegraph
0,pa,bars_visit_prop,2020-09-13,2020-11-30,78,67.207238711369,,,state,safegraph
0,pa,bars_visit_prop,2020-09-14,2020-11-30,77,42.34602439131,,,state,safegraph
0,pa,bars_visit_prop,2020-09-15,2020-11-30,76,36.335620929318,,,state,safegraph
0,pa,bars_visit_prop,2020-09-16,2020-11-30,75,41.799624076583,,,state,safegraph
0,pa,bars_visit_prop,2020-09-17,2020-11-30,74,48.629628010666,,,state,safegraph
0,pa,bars_visit_prop,2020-09-18,2020-11-30,73,66.38763823928,,,state,safegraph
0,pa,bars_visit_prop,2020-09-19,2020-11-30,72,103.54285964069,,,state,safegraph
0,pa,bars_visit_prop,2020-09-20,2020-11-30,71,69.392839970276,,,state,safegraph
0,pa,bars_visit_prop,2020-09-21,2020-11-30,70,29.505616995235,,,state,safegraph
0,pa,bars_visit_prop,2020-09-22,2020-11-30,69,41.52642391922,,,state,safegraph
0,pa,bars_visit_prop,2020-09-23,2020-11-30,68,44.531625650216,,,state,safegraph
0,pa,bars_visit_prop,2020-09-24,2020-11-30,67,42.892424706037,,,state,safegraph
0,pa,bars_visit_prop,2020-09-25,2020-11-30,66,85.238449097347,,,state,safegraph
0,pa,bars_visit_prop,2020-09-26,2020-11-30,65,118.02246798094,,,state,safegraph
0,pa,bars_visit_prop,2020-09-27,2020-11-30,64,75.403243432268,,,state,safegraph
0,pa,bars_visit_prop,2020-09-28,2020-11-30,63,33.330419198321,,,state,safegraph
0,pa,bars_visit_prop,2020-09-29,2020-11-30,62,37.155221401408,,,state,safegraph
0,pa,bars_visit_prop,2020-09-30,2020-11-30,61,44.531625650216,,,state,safegraph
0,pa,bars_visit_prop,2020-10-01,2020-11-30,60,40.433623289767,,,state,safegraph
0,pa,bars_visit_prop,2020-10-02,2020-11-30,59,68.300039340823,,,state,safegraph
0,pa,bars_visit_prop,2020-10-03,2020-11-30,58,108.73366263059,,,state,safegraph
0,pa,bars_visit_prop,2020-10-04,2020-11-30,57,62.28963587883,,,state,safegraph
0,pa,bars_visit_prop,2020-10-05,2020-11-30,56,40.433623289767,,,state,safegraph
0,pa,bars_visit_prop,2020-10-06,2020-11-30,55,36.062420771954,,,state,safegraph
0,pa,bars_visit_prop,2020-10-07,2020-11-30,54,46.990427066486,,,state,safegraph
0,pa,bars_visit_prop,2020-10-08,2020-11-30,53,40.433623289767,,,state,safegraph
0,pa,bars_visit_prop,2020-10-09,2020-11-30,52,71.032040914456,,,state,safegraph
0,pa,bars_visit_prop,2020-10-10,2020-11-30,51,117.47606766621,,,state,safegraph
0,pa,bars_visit_prop,2020-10-11,2020-11-30,50,69.939240285002,,,state,safegraph
0,pa,bars_visit_prop,2020-10-12,2020-12-03,52,34.150019670411,,,state,safegraph
0,pa,bars_visit_prop,2020-10-13,2020-12-03,51,36.882021244044,,,state,safegraph
0,pa,bars_visit_prop,2020-10-14,2020-12-03,50,46.990427066486,,,state,safegraph
0,pa,bars_visit_prop,2020-10-15,2020-12-03,49,41.799624076583,,,state,safegraph
0,pa,bars_visit_prop,2020-10-16,2020-12-03,48,69.666040127639,,,state,safegraph
0,pa,bars_visit_prop,2020-10-17,2020-12-03,47,113.65126546313,,,state,safegraph
0,pa,bars_visit_prop,2020-10-18,2020-12-03,46,66.934038554006,,,state,safegraph
0,pa,bars_visit_prop,2020-10-19,2020-12-03,45,33.603619355685,,,state,safegraph
0,pa,bars_visit_prop,2020-10-20,2020-12-03,44,34.423219827775,,,state,safegraph
0,pa,bars_visit_prop,2020-10-21,2020-12-03,43,41.799624076583,,,state,safegraph
0,pa,bars_visit_prop,2020-10-22,2020-12-03,42,41.253223761857,,,state,safegraph
0,pa,bars_visit_prop,2020-10-23,2020-12-03,41,83.05284783844,,,state,safegraph
