,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,pa,full_time_work_prop_7dav,2020-09-01,2021-01-06,127,0.048778993733346,0.00013747422437389,68002,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-02,2021-01-06,126,0.048928835507454,0.0001387349359276,68007,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-03,2021-01-06,125,0.049088545817215,0.00013712192774925,68012,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-04,2021-01-06,124,0.048337969823131,0.00013811213613186,68019,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-05,2021-01-06,123,0.048109834954099,0.00013806314171274,68026,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-06,2021-01-06,122,0.048186753565556,0.00013854335062174,68035,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-07,2021-01-06,121,0.044323321845947,0.00013400507715483,68034,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-08,2021-01-06,120,0.043688216455645,0.00013089856888487,68034,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-09,2021-01-06,119,0.043871548919755,0.00013135876985701,68036,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-10,2021-01-06,118,0.044103868713433,0.00013360901176557,68038,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-11,2021-01-06,117,0.045036202495719,0.0001344752193309,68037,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-12,2021-01-06,116,0.045232006506328,0.00013702643231259,68038,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-13,2021-01-06,115,0.045651567687524,0.00013863754760076,68042,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-14,2021-01-06,114,0.049881519969365,0.0001447187226388,68046,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-15,2021-01-06,113,0.050867147409845,0.0001484041991249,68044,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-16,2021-01-06,112,0.052703560492562,0.00015370241879016,68045,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-17,2021-01-06,111,0.052918161600709,0.00015582085586998,68045,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-18,2021-01-06,110,0.053325963677542,0.00015586679928075,68047,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-19,2021-01-06,109,0.052681190325285,0.00015324722137615,68047,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-20,2021-01-06,108,0.052135508167288,0.00015222198639125,68041,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-21,2021-01-06,107,0.052658581246506,0.00015257940158029,68039,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-22,2021-01-06,106,0.052349150091559,0.00015258795168525,68044,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-23,2021-01-06,105,0.051146120372827,0.00014809002028391,68048,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-24,2021-01-06,104,0.050784241189282,0.00014839306589751,68046,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-25,2021-01-06,103,0.050789200915789,0.00014799549845059,68048,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-26,2021-01-06,102,0.050820897422898,0.00014778661381482,68051,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-27,2021-01-06,101,0.051132006695983,0.00014820237501468,68056,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-28,2021-01-06,100,0.051129397562446,0.0001474842268086,68061,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-29,2021-01-06,99,0.051410619674759,0.00014544091857507,68062,state,safegraph
0,pa,full_time_work_prop_7dav,2020-09-30,2021-01-06,98,0.050709453488182,0.00014421566898765,68053,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.051802753778513,0.00014511501782425,68050,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.052103151224165,0.00014697846525638,68050,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.052361906312436,0.00014737016400984,68049,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.051985641673185,0.0001472611782893,68048,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.051691042860403,0.00014743674467647,68049,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-06,2020-11-30,55,0.051036005576451,0.00014622472600067,68051,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-07,2020-11-30,54,0.051840703692511,0.00014928034044883,68062,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-08,2020-11-30,53,0.050311875189383,0.00014564928906692,68068,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-09,2020-11-30,52,0.049947265805476,0.0001434798048129,68069,state,safegraph
0,pa,full_time_work_prop_7dav,2020-10-10,2020-11-30,51,0.049868748151335,0.00014366816021533,68075,state,safegraph
