,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,pa,part_time_work_prop_7dav,2020-09-01,2021-01-06,127,0.071785956868162,0.00017252897749587,68002,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-02,2021-01-06,126,0.070647346807008,0.00017128421650819,68007,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-03,2021-01-06,125,0.070262678035999,0.00016817581388466,68012,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-04,2021-01-06,124,0.06934350633853,0.00016879784779956,68019,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-05,2021-01-06,123,0.069661385629717,0.00016900227740801,68026,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-06,2021-01-06,122,0.070548222697946,0.000168960639092,68035,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-07,2021-01-06,121,0.066702500084139,0.00016604906798938,68034,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-08,2021-01-06,120,0.065929833211641,0.00016421267376262,68034,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-09,2021-01-06,119,0.06647542127318,0.00016558181515274,68036,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-10,2021-01-06,118,0.066378764638758,0.00016614896670108,68038,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-11,2021-01-06,117,0.066816542523538,0.00016604167550681,68037,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-12,2021-01-06,116,0.066890952094116,0.00016793520301204,68038,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-13,2021-01-06,115,0.066733160495576,0.00016966671031994,68042,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-14,2021-01-06,114,0.070252922512906,0.00017364841755709,68046,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-15,2021-01-06,113,0.070759557105244,0.00017485082203225,68044,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-16,2021-01-06,112,0.072668043874065,0.00017965820573771,68045,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-17,2021-01-06,111,0.072982475621095,0.00018204965449754,68045,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-18,2021-01-06,110,0.073725198536592,0.00018287435333617,68047,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-19,2021-01-06,109,0.072440077223355,0.00018049089539144,68047,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-20,2021-01-06,108,0.071496987785542,0.00017981972817505,68041,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-21,2021-01-06,107,0.0720405142589,0.00018004164608708,68039,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-22,2021-01-06,106,0.071674910337577,0.00018033451214125,68044,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-23,2021-01-06,105,0.070361475246496,0.00017595151795432,68048,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-24,2021-01-06,104,0.069948573973569,0.0001769771941985,68046,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-25,2021-01-06,103,0.069832740719807,0.00017571775146973,68048,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-26,2021-01-06,102,0.070332933961293,0.00017496171379029,68051,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-27,2021-01-06,101,0.07128009348511,0.00017486201309968,68056,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-28,2021-01-06,100,0.071374393412498,0.00017401719188054,68061,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-29,2021-01-06,99,0.071997541703946,0.00017228358150319,68062,state,safegraph
0,pa,part_time_work_prop_7dav,2020-09-30,2021-01-06,98,0.071270292876707,0.00017157139034355,68053,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.072821749638053,0.00017274661810702,68050,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.072802208461648,0.000174446325003,68050,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.073267725444372,0.00017508844717468,68049,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.072351482070474,0.00017524626113635,68048,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-05,2020-11-30,56,0.071776407959288,0.00017453455499396,68049,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-06,2020-11-30,55,0.071167073183583,0.00017420511731693,68051,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-07,2020-11-30,54,0.071893403251787,0.0001760686179682,68062,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-08,2020-11-30,53,0.070194633761624,0.00017188814571279,68068,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-09,2020-11-30,52,0.070391727634459,0.00017007288383981,68069,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-10,2020-11-30,51,0.070123090638722,0.00017047441662119,68075,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-11,2020-11-30,50,0.070611253605191,0.00017052182266116,68080,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-12,2020-11-30,49,0.069721020600093,0.00016948268862575,68080,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-13,2020-11-30,48,0.069517534715002,0.00016921107209784,68080,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-14,2020-11-30,47,0.069730123487762,0.00016882110021823,68077,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-15,2020-11-30,46,0.0718174125918,0.00017396974706009,68077,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-16,2020-11-30,45,0.071461306671802,0.00017407422192222,68079,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-17,2020-11-30,44,0.07112786350571,0.00017521177002196,68074,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-18,2020-11-30,43,0.071232953401496,0.00017523472636561,68070,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-19,2020-11-30,42,0.071820425887764,0.0001769123481906,68071,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-20,2020-11-30,41,0.07215593283094,0.00017781743881314,68072,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-21,2020-11-30,40,0.071253522408771,0.00017665490712463,68074,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-22,2020-11-30,39,0.068824436086087,0.00016950762393231,68076,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-23,2020-11-30,38,0.069544368552477,0.00017168586444077,68075,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-24,2020-11-30,37,0.069141449575679,0.00017019573371514,68075,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-25,2020-11-30,36,0.069285287034494,0.00016927850594481,68079,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-26,2020-11-30,35,0.069422222082296,0.00016858266891,68077,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-27,2020-11-30,34,0.069314252164233,0.00016755883807272,68075,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-28,2020-11-30,33,0.069749398600423,0.0001711230624898,68075,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-29,2020-11-30,32,0.071013104092839,0.00017271364442844,68075,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-30,2020-11-30,31,0.070559047335716,0.0001709230566975,68074,state,safegraph
0,pa,part_time_work_prop_7dav,2020-10-31,2020-11-30,30,0.070561213967417,0.00017049674333042,68074,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-01,2020-12-30,59,0.080897476869789,0.00019393857379181,68071,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-02,2020-12-30,58,0.080953358107748,0.00019419062461762,68070,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-03,2020-12-30,57,0.080842449369188,0.00019508260598219,68068,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-04,2020-12-30,56,0.081262685832602,0.0001941295766838,68066,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-05,2020-12-30,55,0.081339350540628,0.0001968579866133,68058,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-06,2020-12-30,54,0.080257016833422,0.00019645804628116,68052,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-07,2020-12-30,53,0.081663612744475,0.00019856885252576,68050,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-08,2020-12-30,52,0.07119864609442,0.00017809996221163,68045,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-09,2020-12-30,51,0.073121738570303,0.00018437670326527,68033,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-10,2020-12-30,50,0.072981811162863,0.00018523436996366,68027,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-11,2020-12-30,49,0.071514059472117,0.00018143239271512,68023,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-12,2020-12-30,48,0.07181869566906,0.00018197841770823,68022,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-13,2020-12-30,47,0.073005745061356,0.00018454784660715,68023,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-14,2020-12-30,46,0.073005272916431,0.00018536308474978,68023,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-15,2020-12-30,45,0.071972544521877,0.00018455722350175,68026,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-16,2020-12-30,44,0.0701279616275,0.00017868971762207,68032,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-17,2020-12-30,43,0.071457782888345,0.00018434381292716,68033,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-18,2020-12-30,42,0.071916116038536,0.00018808785189336,68029,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-19,2020-12-30,41,0.070452540400269,0.00018389700725491,68031,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-20,2020-12-30,40,0.069275789953856,0.00018187574647763,68028,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-21,2020-12-30,39,0.068356865427347,0.00017871131901426,68029,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-22,2020-12-30,38,0.069295105010571,0.00017983997750263,68029,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-23,2020-12-30,37,0.068751105431952,0.0001782291292355,68032,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-24,2020-12-30,36,0.067054017725394,0.00016900232793389,68033,state,safegraph
0,pa,part_time_work_prop_7dav,2020-11-25,2020-12-30,35,0.06426253675548,0.00016137790689508,68035,state,safegraph
