,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,pa,restaurants_visit_prop,2020-09-01,2020-11-30,90,166.09294722126,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-02,2020-11-30,89,174.96803482205,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-03,2020-11-30,88,186.27775570408,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-04,2020-11-30,87,248.89878847269,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-05,2020-11-30,86,261.97786493702,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-06,2020-11-30,85,221.21191232093,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-07,2020-11-30,84,197.57332174146,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-08,2020-11-30,83,148.25784295172,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-09,2020-11-30,82,157.74158887282,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-10,2020-11-30,81,163.57338487207,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-11,2020-11-30,80,233.01705276601,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-12,2020-11-30,79,286.67806886587,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-13,2020-11-30,78,211.30352106007,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-14,2020-11-30,77,147.30497123153,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-15,2020-11-30,76,144.02272446571,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-16,2020-11-30,75,164.80557144411,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-17,2020-11-30,74,173.93078335771,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-18,2020-11-30,73,227.60683607116,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-19,2020-11-30,72,278.66557994117,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-20,2020-11-30,71,199.69359094632,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-21,2020-11-30,70,132.31693286713,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-22,2020-11-30,69,153.48367247611,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-23,2020-11-30,68,171.65899744511,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-24,2020-11-30,67,172.92077897571,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-25,2020-11-30,66,259.38825712386,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-26,2020-11-30,65,306.48531605288,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-27,2020-11-30,64,223.85989177884,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-28,2020-11-30,63,164.61616843453,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-29,2020-11-30,62,154.5991295646,,,state,safegraph
0,pa,restaurants_visit_prop,2020-09-30,2020-11-30,61,173.85504750524,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-01,2020-11-30,60,180.32084801874,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-02,2020-11-30,59,262.01347857662,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-03,2020-11-30,58,309.5944132088,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-04,2020-11-30,57,220.26166825859,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-05,2020-11-30,56,153.17710368605,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-06,2020-11-30,55,145.36166000583,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-07,2020-11-30,54,170.2061026172,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-08,2020-11-30,53,185.06802861375,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-09,2020-11-30,52,266.34025421863,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-10,2020-11-30,51,320.65688874038,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-11,2020-11-30,50,244.18018582301,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-12,2020-12-03,52,180.03817788219,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-13,2020-12-03,51,159.4264284299,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-14,2020-12-03,50,177.0876492971,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-15,2020-12-03,49,181.11491106254,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-16,2020-12-03,48,271.44862982906,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-17,2020-12-03,47,330.24944831408,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-18,2020-12-03,46,235.42701070483,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-19,2020-12-03,45,153.86097640682,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-20,2020-12-03,44,155.88859083734,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-21,2020-12-03,43,165.62114010382,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-22,2020-12-03,42,176.76602769777,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-23,2020-12-03,41,265.86919425819,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-24,2020-12-03,40,328.68329096085,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-25,2020-12-03,39,232.5883505021,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-26,2020-12-17,52,149.41618356086,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-27,2020-12-17,51,156.33683583584,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-28,2020-12-17,50,167.47978505433,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-29,2020-12-17,49,169.18548117058,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-30,2020-12-17,48,253.96696681792,,,state,safegraph
0,pa,restaurants_visit_prop,2020-10-31,2020-12-17,47,234.64506491082,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-01,2020-12-17,46,211.93973300263,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-02,2020-12-24,52,157.09700457785,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-03,2020-12-24,51,183.00804454859,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-04,2020-12-24,50,159.50830630724,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-05,2020-12-24,49,163.45280566804,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-06,2020-12-24,48,255.54223067432,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-07,2020-12-24,47,302.01205706617,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-08,2020-12-24,46,213.7556261384,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-09,2020-12-31,52,139.370440184,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-10,2020-12-31,51,149.19292390505,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-11,2020-12-31,50,210.5555423783,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-12,2020-12-31,49,167.19150913254,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-13,2020-12-31,48,253.1103369084,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-14,2020-12-31,47,308.37576023094,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-15,2020-12-31,46,198.47277121008,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-16,2021-01-07,52,135.10981384374,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-17,2021-01-07,51,137.89817033624,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-18,2021-01-07,50,146.16564733648,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-19,2021-01-07,49,154.97685385276,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-20,2021-01-07,48,224.22568734382,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-21,2021-01-07,47,269.11822687295,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-22,2021-01-07,46,184.74255941012,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-23,2021-01-14,52,139.73597798161,,,state,safegraph
0,pa,restaurants_visit_prop,2020-11-24,2021-01-14,51,150.39688143457,,,state,safegraph
