,geo_value,time_value,value,name,state
1721,42001,2020-10-01,194.29562557671002,Adams County,PA
1722,42003,2020-10-01,215.01678412988997,Allegheny County,PA
1723,42005,2020-10-01,96.35018130577299,Armstrong County,PA
1724,42007,2020-10-01,95.320416798666,Beaver County,PA
1725,42009,2020-10-01,186.89576804689,Bedford County,PA
1726,42011,2020-10-01,179.68583378016004,Berks County,PA
1727,42013,2020-10-01,227.53123667434,Blair County,PA
1728,42015,2020-10-01,183.80574634807,Bradford County,PA
1729,42017,2020-10-01,203.9193291277,Bucks County,PA
1730,42019,2020-10-01,382.81828103109,Butler County,PA
1731,42021,2020-10-01,299.61703385284,Cambria County,PA
1732,42025,2020-10-01,211.90181882393998,Carbon County,PA
1733,42027,2020-10-01,206.78541378474,Centre County,PA
1734,42029,2020-10-01,86.885852824396,Chester County,PA
1735,42031,2020-10-01,468.06085077470993,Clarion County,PA
1736,42033,2020-10-01,186.85773913818,Clearfield County,PA
1737,42035,2020-10-01,401.49125322627,Clinton County,PA
1738,42037,2020-10-01,344.42528740289004,Columbia County,PA
1739,42039,2020-10-01,213.61525075801003,Crawford County,PA
1740,42041,2020-10-01,217.41873885867,Cumberland County,PA
1741,42043,2020-10-01,161.01610499084,Dauphin County,PA
1742,42045,2020-10-01,99.88952392325199,Delaware County,PA
1743,42047,2020-10-01,43.199694133552,Elk County,PA
1744,42049,2020-10-01,262.87253842619,Erie County,PA
1745,42051,2020-10-01,343.51626176396,Fayette County,PA
1746,42055,2020-10-01,224.63367431573,Franklin County,PA
1747,42059,2020-10-01,72.84997671252,Greene County,PA
1748,42061,2020-10-01,73.674465458214,Huntingdon County,PA
1749,42063,2020-10-01,152.55207421554,Indiana County,PA
1750,42065,2020-10-01,115.94249743539,Jefferson County,PA
1751,42067,2020-10-01,91.52137087464001,Juniata County,PA
1752,42069,2020-10-01,305.61951920029,Lackawanna County,PA
1753,42071,2020-10-01,151.55976649113,Lancaster County,PA
1754,42073,2020-10-01,105.48867362711,Lawrence County,PA
1755,42075,2020-10-01,118.32968731342,Lebanon County,PA
1756,42077,2020-10-01,239.7236865242,Lehigh County,PA
1757,42079,2020-10-01,322.00651042796,Luzerne County,PA
1758,42081,2020-10-01,156.86596036164,Lycoming County,PA
1759,42083,2020-10-01,171.84136743146,McKean County,PA
1760,42085,2020-10-01,210.67928960688,Mercer County,PA
1761,42087,2020-10-01,47.7076475359,Mifflin County,PA
1762,42089,2020-10-01,178.57682837723,Monroe County,PA
1763,42091,2020-10-01,166.52918768997,Montgomery County,PA
1764,42093,2020-10-01,128.62334489208,Montour County,PA
1765,42095,2020-10-01,150.61900225042,Northampton County,PA
1766,42097,2020-10-01,138.66790753254,Northumberland County,PA
1767,42101,2020-10-01,75.912049318028,Philadelphia County,PA
1768,42103,2020-10-01,171.11859640309999,Pike County,PA
1769,42105,2020-10-01,169.61935337197,Potter County,PA
1770,42107,2020-10-01,166.67490123895,Schuylkill County,PA
1771,42109,2020-10-01,683.25242386895,Snyder County,PA
1772,42111,2020-10-01,184.46889272111,Somerset County,PA
1773,42113,2020-10-01,201.93675707926002,Sullivan County,PA
1774,42115,2020-10-01,407.80658316341004,Susquehanna County,PA
1775,42117,2020-10-01,81.665986116782,Tioga County,PA
1776,42119,2020-10-01,133.13447551584,Union County,PA
1777,42121,2020-10-01,156.52960696077,Venango County,PA
1778,42123,2020-10-01,119.01368218971001,Warren County,PA
1779,42125,2020-10-01,342.39314099074,Washington County,PA
1780,42127,2020-10-01,103.79596678528999,Wayne County,PA
1781,42129,2020-10-01,250.26612953944002,Westmoreland County,PA
1782,42131,2020-10-01,44.029587883057005,Wyoming County,PA
1783,42133,2020-10-01,261.69891659176005,York County,PA
4201,42001,2020-10-02,345.0280503890701,Adams County,PA
4202,42003,2020-10-02,292.73289249886,Allegheny County,PA
4203,42005,2020-10-02,98.467305876724,Armstrong County,PA
4204,42007,2020-10-02,102.81113160634001,Beaver County,PA
4205,42009,2020-10-02,149.88653782494,Bedford County,PA
4206,42011,2020-10-02,346.83195687925,Berks County,PA
4207,42013,2020-10-02,378.37091960941,Blair County,PA
4208,42015,2020-10-02,106.41385314888001,Bradford County,PA
4209,42017,2020-10-02,284.10024465015,Bucks County,PA
4210,42019,2020-10-02,625.16543131015,Butler County,PA
4211,42021,2020-10-02,428.37105045681,Cambria County,PA
4212,42025,2020-10-02,194.24333392194998,Carbon County,PA
4213,42027,2020-10-02,393.60533934199,Centre County,PA
4214,42029,2020-10-02,138.28286085879998,Chester County,PA
4215,42031,2020-10-02,580.77106699103,Clarion County,PA
4216,42033,2020-10-02,264.71951713641005,Clearfield County,PA
4217,42035,2020-10-02,501.86406653284007,Clinton County,PA
4218,42037,2020-10-02,462.29312308175,Columbia County,PA
4219,42039,2020-10-02,371.59585276802,Crawford County,PA
4220,42041,2020-10-02,300.3448778704,Cumberland County,PA
4221,42043,2020-10-02,243.4391393486,Dauphin County,PA
4222,42045,2020-10-02,162.72881138215,Delaware County,PA
4223,42047,2020-10-02,64.806110496882,Elk County,PA
4224,42049,2020-10-02,485.04922296577,Erie County,PA
4225,42051,2020-10-02,494.58385128625997,Fayette County,PA
4226,42055,2020-10-02,337.52649525389,Franklin County,PA
4227,42059,2020-10-02,135.98588198072,Greene County,PA
4228,42061,2020-10-02,126.05358128543001,Huntingdon County,PA
4229,42063,2020-10-02,179.16472367458,Indiana County,PA
4230,42065,2020-10-02,129.03743674816002,Jefferson County,PA
4231,42067,2020-10-02,105.20579814397,Juniata County,PA
4232,42069,2020-10-02,398.07477565024004,Lackawanna County,PA
4233,42071,2020-10-02,251.76799945586004,Lancaster County,PA
4234,42073,2020-10-02,149.2693825742,Lawrence County,PA
4235,42075,2020-10-02,179.41170410136002,Lebanon County,PA
4236,42077,2020-10-02,335.2934003474,Lehigh County,PA
4237,42079,2020-10-02,425.55336976188994,Luzerne County,PA
4238,42081,2020-10-02,201.3757186972,Lycoming County,PA
4239,42083,2020-10-02,167.79659357076,McKean County,PA
4240,42085,2020-10-02,326.19198903668,Mercer County,PA
4241,42087,2020-10-02,76.33223605744,Mifflin County,PA
4242,42089,2020-10-02,236.44852646639,Monroe County,PA
4243,42091,2020-10-02,247.24367942781,Montgomery County,PA
4244,42093,2020-10-02,95.55949989242399,Montour County,PA
4245,42095,2020-10-02,229.41177692865003,Northampton County,PA
4246,42097,2020-10-02,90.55610948273599,Northumberland County,PA
4247,42101,2020-10-02,91.380605297232,Philadelphia County,PA
4248,42103,2020-10-02,366.95902662300006,Pike County,PA
4249,42105,2020-10-02,107.81829379235,Potter County,PA
4250,42107,2020-10-02,215.85782765075,Schuylkill County,PA
4251,42109,2020-10-02,1402.5167538915,Snyder County,PA
4252,42111,2020-10-02,318.49284929795,Somerset County,PA
4253,42113,2020-10-02,293.72619211529,Sullivan County,PA
4254,42115,2020-10-02,378.67754150888,Susquehanna County,PA
4255,42117,2020-10-02,64.1661319489,Tioga County,PA
4256,42119,2020-10-02,202.35238639924998,Union County,PA
4257,42121,2020-10-02,192.19045278082,Venango County,PA
4258,42123,2020-10-02,66.95357031466,Warren County,PA
4259,42125,2020-10-02,494.94276183912996,Washington County,PA
4260,42127,2020-10-02,126.03795966785,Wayne County,PA
4261,42129,2020-10-02,344.19461652035005,Westmoreland County,PA
4262,42131,2020-10-02,35.223670306445996,Wyoming County,PA
4263,42133,2020-10-02,409.34232313821,York County,PA
6681,42001,2020-10-03,447.24443454895,Adams County,PA
6682,42003,2020-10-03,353.44276917466004,Allegheny County,PA
6683,42005,2020-10-03,67.609998571245,Armstrong County,PA
6684,42007,2020-10-03,117.38344158886001,Beaver County,PA
6685,42009,2020-10-03,154.66260347773002,Bedford County,PA
6686,42011,2020-10-03,417.82890181286,Berks County,PA
6687,42013,2020-10-03,518.5825679761099,Blair County,PA
6688,42015,2020-10-03,116.08783979878,Bradford County,PA
6689,42017,2020-10-03,314.39981864847,Bucks County,PA
6690,42019,2020-10-03,669.76370325365,Butler County,PA
6691,42021,2020-10-03,416.19682894763,Cambria County,PA
6692,42025,2020-10-03,105.95090941196999,Carbon County,PA
6693,42027,2020-10-03,486.30224896964006,Centre County,PA
6694,42029,2020-10-03,180.00004651348,Chester County,PA
6695,42031,2020-10-03,724.82621908653,Clarion County,PA
6696,42033,2020-10-03,333.21472004821,Clearfield County,PA
6697,42035,2020-10-03,286.77946659019,Clinton County,PA
6698,42037,2020-10-03,504.98162445067004,Columbia County,PA
6699,42039,2020-10-03,322.87287034863,Crawford County,PA
6700,42041,2020-10-03,323.690493217,Cumberland County,PA
6701,42043,2020-10-03,316.18672857338,Dauphin County,PA
6702,42045,2020-10-03,199.08725814663998,Delaware County,PA
6703,42047,2020-10-03,81.010922769379,Elk County,PA
6704,42049,2020-10-03,635.40886819183,Erie County,PA
6705,42051,2020-10-03,529.70820649625,Fayette County,PA
6706,42055,2020-10-03,359.41387890517,Franklin County,PA
6707,42059,2020-10-03,92.22252840255699,Greene County,PA
6708,42061,2020-10-03,194.71108728242,Huntingdon County,PA
6709,42063,2020-10-03,210.61896366869,Indiana County,PA
6710,42065,2020-10-03,148.98066652368001,Jefferson County,PA
6711,42067,2020-10-03,78.44688932112,Juniata County,PA
