,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,01000,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,51.8895553,1.2706037,1546.3191,county,fb-survey
1,01003,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,41.6657435,3.3158745,221.0582,county,fb-survey
2,01073,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,54.7248071,2.8666651,301.5023,county,fb-survey
3,01089,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,54.5265818,2.3868598,435.2232,county,fb-survey
4,01097,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,49.2808479,2.6852888,346.6316,county,fb-survey
5,01101,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,63.3926544,4.0600344,140.7822,county,fb-survey
6,01117,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,48.1345476,4.4554007,125.7655,county,fb-survey
7,01125,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,56.3611455,4.0519493,149.8046,county,fb-survey
8,02000,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,49.6118629,2.5481244,385.0105,county,fb-survey
9,02020,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,59.8330942,2.8351559,298.9895,county,fb-survey
10,04000,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,54.0087607,2.7071726,338.928,county,fb-survey
11,04003,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,46.0963687,4.2031627,140.6476,county,fb-survey
12,04013,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,54.3033358,0.9364007,2830.0073,county,fb-survey
13,04015,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,37.395456,4.2053897,132.3769,county,fb-survey
14,04019,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,57.341168,1.4370412,1184.5055,county,fb-survey
15,04021,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,46.9412381,2.7975885,318.2321,county,fb-survey
16,04025,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,43.0124345,4.0922044,146.3725,county,fb-survey
17,05000,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,53.4659744,1.3977467,1273.4771,county,fb-survey
18,05007,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,54.4644146,3.1820181,244.9393,county,fb-survey
19,05031,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,63.0819705,4.6378405,108.271,county,fb-survey
20,05119,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,63.2142954,2.8123578,294.004,county,fb-survey
21,05131,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,57.2595145,4.1835706,139.8276,county,fb-survey
22,05143,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,60.743182,3.2672161,223.3865,county,fb-survey
23,06000,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,53.9569501,1.5627895,1017.2097,county,fb-survey
24,06001,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,65.8767807,1.5839765,895.9523,county,fb-survey
25,06007,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,58.5010469,3.5782642,189.6077,county,fb-survey
26,06013,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,58.2105231,1.6768049,865.1738,county,fb-survey
27,06019,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,55.0820403,2.0034377,616.4223,county,fb-survey
28,06023,smoothed_worried_become_ill,2020-10-01,2020-12-09,69,59.3864693,3.9718254,152.8896,county,fb-survey
